"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount"
"P3","comp",2,"e",0,0,NA,NA,86,72,824.913648837209,689.163691666666,781.280315789474,19,880.571926086956,23,723.226860869565,23,914.803604761905,21
"P3","solo",1,"e",0,0,NA,NA,68,61,854.901919117647,518.90441147541,903.169675,4,818.452828571429,21,879.041232,25,853.172866666667,18
"P3","solo",2,"e",0,0,NA,NA,70,61,820.657331428572,472.682106557377,665.286166666667,12,891.97326,15,905.512118181818,22,769.605414285714,21
"P3","co",1,"e",0,0,NA,NA,23,0,889.081686956522,NA,1001.7415125,8,NA,0,870.70037,10,745.5886,5
"P3","co",2,"e",0,0,NA,NA,51,0,918.550247058824,NA,948.858627777778,18,NA,0,936.071415,20,849.629153846154,13
"P3","comp",1,"e",0,0,NA,NA,75,63,992.38344,665.180398412699,894.784338888889,18,1059.0515625,24,977.26914117647,17,1018.2391875,16
"P9","comp",2,"e",54,48,253.178896296296,954.01756875,88,60,618.021748863637,354.325636666667,657.3561,26,397.74335,38,410.487251428571,35,499.651502325581,43
"P9","solo",1,"e",77,37,299.022428571429,878.419178378378,74,62,821.604877027027,275.982727419355,508.917510526316,19,573.062442857143,42,604.592720930233,43,512.509480851064,47
"P9","solo",2,"e",81,65,284.752241975309,916.262221538462,82,77,642.617593902439,229.330907792208,350.469863888889,36,573.289966666667,39,501.871021428571,42,428.386252173913,46
"P9","co",1,"e",21,14,906.192314285714,930.275578571429,29,24,756.765517241379,520.264779166667,1047.7790173913,23,NA,0,502.250890909091,11,709.5350875,16
"P9","comp",1,"e",65,52,298.370707692308,966.5611,103,67,699.443180582524,434.073753731343,812.989292592593,27,529.909566666667,42,525.75018627451,51,425.3452375,48
"nuP10","comp",2,"c",58,64,247.831936206897,1158.201665625,86,80,601.499039534884,455.03790625,584.641556,25,387.6346875,40,407.4304025,40,504.731466666667,39
"nuP10","solo",1,"c",84,54,336.767930952381,833.084570370371,84,81,730.474165476191,373.976712345679,635.548026315789,19,564.20288,45,468.905869491525,59,544.852171111111,45
"nuP10","solo",2,"c",86,49,299.240909302326,943.21973877551,86,81,688.891743023256,274.823,607.495790322581,31,398.156729545454,44,587.341761702128,47,420.461594,50
"nuP10","co",1,"c",24,13,276.864233333333,495.977138461538,40,21,882.86452,413.376223809524,967.206225,16,NA,0,557.316880645161,31,541.599970588235,17
"nuP10","co",2,"c",56,18,765.838775,672.861944444444,64,27,912.686925,604.612040740741,1163.90989423077,52,NA,0,616.085706666667,45,567.467969565217,23
"nuP10","comp",1,"c",64,63,256.4268734375,1111.28699206349,98,84,574.776940816326,458.658258333333,658.110907142857,28,425.251391489362,47,465.359674418605,43,325.342575,44
"nuP11","comp",2,"e",22,16,254.230022727273,809.72825,70,35,748.123294285714,642.33042,738.673393023256,43,492.352846153846,13,623.112123529412,17,484.48642631579,19
"nuP11","solo",1,"e",77,40,399.550271428571,1249.300745,84,81,772.428221428572,247.469902469136,800.01775,16,501.889036170213,47,668.896277777778,54,525.906222727273,44
"nuP11","solo",2,"e",44,46,288.251806818182,914.955452173913,65,66,752.60106,294.805042424242,609.379644,25,524.930482352941,34,578.758946666667,30,557.862625,20
"nuP11","co",1,"e",33,5,934.629578787879,535.50098,48,20,1099.87118958333,791.317585,1340.12737954545,44,NA,0,657.813454166667,24,683.343507692308,13
"nuP11","co",2,"e",36,11,984.335886111111,676.133427272727,47,26,857.1569,652.936457692308,1107.5916,39,NA,0,754.247905128205,39,622.1451,5
"nuP11","comp",1,"e",28,27,250.211975,832.896348148148,77,51,705.281931168831,421.190915686275,788.082577777778,27,411.008815384615,26,562.963792857143,28,566.049958333333,24
"p012","comp",2,"e",65,48,384.193135384615,1233.93084791667,101,75,431.688186138614,423.886574666667,481.485751851852,27,368.59407173913,46,449.367297777778,45,383.251866666667,48
"nuP12","solo",1,"e",84,34,359.348933333333,842.024414705882,85,81,867.128917647059,339.700711111111,665.308883333333,24,598.852878846154,52,558.339578571429,42,653.593003921569,51
"p012","solo",2,"e",94,47,367.718082978723,1024.94541914894,97,91,742.024578350516,302.761758241758,614.864271052632,38,526.843461538462,52,553.130495652174,46,551.585069090909,55
"p012","co",1,"e",42,13,785.34794047619,397.875746153846,50,24,833.83403,733.5153375,1215.44862647059,34,NA,0,582.683841463415,41,556.530835294118,17
"p012","co",2,"e",51,19,672.634394117647,573.811605263158,53,33,785.609115094339,627.54333030303,1031.821071875,32,NA,0,618.9958,41,565.95274516129,31
"p012","comp",1,"e",74,54,317.902383783784,952.708164814815,111,95,411.752636936937,421.018324210526,393.576864,25,390.56568,55,429.344616,50,298.937350909091,55
"nuP13","comp",2,"e",52,50,274.454288461538,832.63403,86,71,666.9008,632.734377464789,669.779682608696,23,503.430935,40,487.508963157895,38,474.529218918919,37
"nuP13","solo",1,"e",63,37,352.421292063492,499.341021621622,58,62,896.199727586207,406.949464516129,623.076584615385,13,587.947102439024,41,672.034190625,32,584.891562857143,35
"nuP13","solo",2,"e",63,47,375.073153968254,523.9619,59,63,763.49083559322,455.514514285714,546.260746153846,26,564.627528,25,550.019651282051,39,590.8229375,32
"nuP13","co",1,"e",30,15,525.021103333333,311.706606666667,41,25,737.069148780488,882.659064,850.76,25,NA,0,540.279772,25,533.070185714286,21
"nuP13","co",2,"e",39,18,478.017053846154,295.806477777778,47,29,979.570178723404,984.091362068966,955.949817857143,28,NA,0,672.432023529412,34,627.215825,24
"nuP13","comp",1,"e",46,48,280.994276086957,596.6066,82,62,704.432143902439,567.163372580645,624.956136363636,22,544.025115384615,39,480.532246666667,30,575.870016216216,37
"nuP14","comp",2,"e",47,42,343.996595744681,640.492964285714,69,72,685.65425942029,468.646081944444,627.925266666667,12,485.237453658537,41,679.898390909091,33,453.716606666667,30
"nuP14","solo",1,"e",88,45,346.344323863636,824.695928888889,92,79,718.697060869565,317.515267088608,590.66476,25,605.657009433962,53,489.03063,50,486.162655769231,52
"nuP14","solo",2,"e",88,48,301.737385227273,741.76220625,93,76,684.971176344086,261.171207894737,375.962986206897,29,545.337961111111,36,491.039231818182,66,546.230536,50
"nuP14","co",1,"e",54,18,894.270009259259,853.349411111111,63,32,877.058609523809,583.67544375,1111.61443392857,56,NA,0,684.375212195122,41,661.774045,20
"nuP14","co",2,"e",51,21,719.085501960784,376.465233333333,59,29,953.116811864407,636.531544827586,1267.84576,45,NA,0,533.133973170732,41,583.154183333333,24
"nuP14","comp",1,"e",53,54,232.026150943396,959.278081481482,85,83,660.458517647059,439.954239759036,603.981677272727,22,499.546120930233,43,439.312417142857,35,481.377507894737,38
"P2","solo",1,"e",0,0,NA,NA,73,0,573.914494520548,NA,634.0471,18,542.5788,22,637.414538095238,21,430.039283333333,12
"P2","solo",2,"e",0,0,NA,NA,76,0,823.756218421052,NA,1257.0782,1,959.19881,10,762.713705,20,811.158493333333,45
"P2","co",1,"e",14,0,1115.56883571429,NA,45,0,957.448055555555,NA,1001.00841944444,36,NA,0,1073.97524666667,15,819.6493,8
"P2","comp",1,"e",0,0,NA,NA,86,0,963.454161627907,NA,923.585415625,32,979.786544444445,18,1153.53042,15,874.438595238095,21
"P3","solo",1,NA,0,0,NA,NA,68,61,854.901919117647,518.90441147541,903.169675,4,818.452828571429,21,879.041232,25,853.172866666667,18
"P4","comp",2,"e",0,0,NA,NA,78,68,732.687543589743,547.877055882353,725.892270588235,17,663.640815,20,922.448505,20,623.222542857143,21
"P4","solo",1,"e",0,0,NA,NA,63,66,929.418011111111,489.94431969697,700.17403,10,988.143923529412,17,1072.37632352941,17,869.618431578947,19
"P4","solo",2,"e",0,0,NA,NA,58,60,887.043072413793,403.221041666667,688.1656625,16,777.770566666667,12,999.4032125,16,1079.5821,14
"P4","co",1,"e",0,0,NA,NA,32,0,1039.686440625,NA,982.694217647059,17,NA,0,1186.76261818182,11,877.4439,4
"P4","co",2,"e",14,0,1336.504,NA,39,28,837.329715384615,518.013460714286,1073.81868787879,33,NA,0,899.634435714286,14,556.002683333333,6
"P4","comp",1,"e",0,0,NA,NA,112,50,778.32965625,515.684872,800.96795,24,869.883732352941,34,684.652955172414,29,740.748324,25
"P5","comp",1,"e",53,47,312.800143396226,711.245302127659,70,61,870.668861428571,494.596134426229,798.189589473684,19,650.939269230769,39,678.895217142857,35,440.38872,30
"P5","solo",2,"e",27,21,349.823540740741,674.633,27,28,949.155288888889,274.402021428571,678.534165,20,639.824447058824,17,624.984088235294,17,NA,0
"P5","co",1,"e",25,0,451.000472,NA,31,0,802.160783870968,NA,712.7338,15,NA,0,591.535192857143,28,683.692592307692,13
"P5","co",2,"e",33,18,603.011712121212,835.8419,38,23,871.896486842105,737.77667826087,912.256335483871,31,NA,0,599.067822727273,22,642.889694444444,18
"P6","comp",2,"e",59,35,304.215869491525,989.272005714286,85,72,733.752827058824,638.525716666667,782.061944,25,523.476587804878,41,527.803158536585,41,477.397524324324,37
"P6","solo",1,"e",47,22,342.263380851064,552.633345454545,50,48,747.75661,326.565939583333,497.171905,20,547.62945,28,585.861262962963,27,562.676936363637,22
"P6","solo",2,"e",71,33,309.888222535211,627.508366666667,71,70,832.633395774648,299.910291428571,419.530475862069,29,628.647416129032,31,618.439594736842,38,590.088104545454,44
"P6","co",1,"e",17,5,759.235017647059,244.61752,23,12,875.104721739131,667.484325,1076.19382105263,19,NA,0,610.762969230769,13,580.8503375,8
"P6","co",2,"e",39,21,738.481823076923,522.662595238095,47,33,1055.5956212766,348.070893939394,1144.22688787879,33,NA,0,842.35361,30,668.856073913043,23
"P6","comp",1,"e",60,37,312.598546666667,891.832354054054,86,67,809.725453488372,477.544252238806,935.36775,22,637.6207575,40,492.7762275,40,513.598452272728,44
"Py","comp",2,"e",50,39,282.16287,1040.37952051282,65,59,637.120630769231,658.463318644068,852.36755,16,435.764315625,32,432.93917,30,404.06677027027,37
"P7","solo",1,"e",68,47,440.880847058824,547.481187234043,60,59,1063.29535,628.925750847458,697.04802,20,743.765885714286,42,735.555475757576,33,737.12606969697,33
"P7","solo",2,"e",73,54,352.910120547945,563.417311111111,66,72,945.637322727273,475.037743055556,614.103692857143,28,558.845416666667,36,676.32067027027,37,679.928918421053,38
"P7","co",1,"e",39,13,660.499002564103,729.280484615384,44,31,782.377875,587.470635483871,894.045180645161,31,NA,0,682.214620588235,34,515.188327777778,18
"P7","co",2,"e",35,19,785.242722857143,570.672857894737,42,25,715.234878571429,679.241432,858.202074285714,35,NA,0,680.494825,36,498.078983333333,6
"P7","comp",1,"e",51,39,371.721343137255,769.976505128205,70,63,801.605101428571,563.651476190477,962.118510526316,19,566.7222,34,591.942866666667,36,506.606121875,32
"sdP1","comp",2,"e",51,50,350.630666666667,864.06191,77,74,745.594103896104,338.714256756757,827.940529166667,24,563.130333333333,33,505.376063636364,33,530.569110526316,38
"sdP1","solo",1,"e",69,43,387.187247826087,530.567011627907,68,62,878.286676470588,427.105980645161,635.216886956522,23,581.825733333333,30,649.735072222222,36,645.50398125,48
"sdP1","co",1,"e",22,19,446.462286363636,416.231757894737,40,25,943.9748725,539.750016,829.839052941176,17,NA,0,685.874784615385,26,823.218784210526,19
"sdP1","co",2,"f",25,16,379.084088,563.55403125,42,26,873.105873809524,432.5293,1047.114,19,NA,0,580.647172413793,29,495.453415789474,19
"sdP1","solo",2,"e",83,53,357.138231325301,693.914843396226,87,81,768.528010344828,345.901072839506,618.950746875,32,591.72957368421,38,513.002733333333,54,576.306843478261,46
"sdP1","comp",1,"e",55,49,428.989167272727,650.887195918368,78,75,750.921482051282,361.493790666667,698.679755,20,653.4985925,40,594.42847368421,38,556.1274,35
"sd10","comp",2,"e",56,60,375.240744642857,987.834548333334,87,78,688.317179310345,345.838997435898,831.256676,25,521.786648648649,37,556.134706666667,45,438.430322222222,36
"sd10","solo",1,"e",77,51,506.515205194805,888.862819607843,73,66,744.032057534247,500.91061969697,757.6738,16,591.009013513513,37,653.477949019608,51,565.185245652174,46
"sd10","solo",2,"e",84,68,456.776935714286,867.564510294118,86,80,829.820913953488,420.67198375,568.406272727273,33,744.993355555556,36,593.730386792453,53,681.020477083333,48
"sd10","co",1,"e",33,25,477.5452,410.043108,56,29,824.155242857143,478.013906896552,719.071812,25,NA,0,716.174139534884,43,625.685804761905,21
"sd10","co",2,"e",32,26,419.34985,617.148961538462,63,30,827.226647619048,462.582203333333,659.976086206897,29,NA,0,731.205882608696,46,637.984845,20
"sd10","comp",1,"1",75,74,334.194746666667,831.993351351352,97,88,669.212916494846,400.035722727273,671.754292,25,517.757752083333,48,487.585859183673,49,488.806448,50
"sdP11","comp",2,"e",56,24,386.179685714286,897.160066666666,74,73,806.610790540541,374.209243835617,744.510682352941,17,686.752068421053,38,593.8629,35,544.41998,40
"sdP11","solo",1,"e",48,5,474.515108333333,233.3742,52,50,798.599805769231,321.283446,612.523,12,570.44657,30,775.824488235294,34,560.925391666667,24
"sdP11","solo",2,"e",45,8,345.204811111111,400.7034625,62,62,734.970611290322,281.770659677419,767.574052941176,17,580.548961538462,26,533.444715625,32,496.5353625,32
"sdP11","co",2,"e",15,5,412.269253333333,1215.41596,42,28,847.362042857143,331.852871428572,900.695322222222,18,NA,0,572.221244827586,29,896.63127,10
"sdP11","co",1,"e",16,2,267.77805,163.7018,39,24,723.425484615385,348.3954,773.3647875,16,NA,0,457.179623333333,30,712.090822222222,9
"sdP11","comp",1,"e",51,20,356.915049019608,888.201495,74,70,750.913972972973,321.397525714286,684.317405882353,17,556.22924,40,634.404454054054,37,529.508748387097,31
"sdP12","comp",2,"e",38,29,271.162257894737,1101.70946551724,53,46,623.8226,272.070571739131,578.730266666667,12,486.002734615385,26,423.197879166667,24,469.971731034483,29
"sd12","solo",1,"e",94,42,374.813922340425,907.548957142857,93,70,785.957047311828,314.25068,598.697995454546,22,587.228460606061,66,581.844443548387,62,549.289845945946,37
"sdP12","solo",2,"e",69,30,271.308268115942,653.550253333333,73,56,691.022616438356,274.158660714286,385.100211111111,27,510.609292592593,27,557.695807894737,38,475.766484,50
"sdP12","co",1,"e",19,10,424.784084210526,387.0276,42,16,757.55290952381,491.42999375,789.35612,25,NA,0,679.785881818182,22,371.351957142857,14
"sd12","co",2,"e",24,9,335.4196875,449.026888888889,48,18,893.854270833333,465.436888888889,999.0652,24,NA,0,549.030157142857,35,597.035169230769,13
"sdP12","comp",1,"e",38,27,261.971905263158,1292.87446296296,50,37,491.510704,268.111910810811,523.412672727273,11,344.944037037037,27,356.200530769231,26,424.926058333333,24
"sdP13","comp",1,"e",49,33,276.618620408163,952.931148484848,85,71,568.137108235294,228.911394366197,539.85780952381,21,376.129392857143,42,497.4007275,40,477.919,31
"sdP13","solo",1,"e",74,37,444.930302702703,1091.44157567568,80,70,689.25920875,280.417515714286,678.11532173913,23,607.646914285714,42,525.50175106383,47,529.742238095238,42
"sdP13","solo",2,"e",77,32,305.353435064935,998.14694375,81,74,563.853911111111,259.591144594595,473.026283870968,31,454.481215151515,33,409.843260465116,43,429.40051372549,51
"sdP13","co",1,"e",33,20,342.241433333333,740.83172,63,32,776.691628571429,292.045671875,798.496908,25,NA,0,608.585505128205,39,516.508828125,32
"sdP13","co",2,"e",27,13,279.750077777778,472.693530769231,54,30,701.104446296296,306.575426666667,768.148885,20,NA,0,472.037116216216,37,524.355883333333,24
"sdP13","comp",1,"e",54,41,276.723733333333,838.781048780488,89,72,550.898935955056,254.902315277778,491.742805,20,478.246560416667,48,423.153690243902,41,406.855723529412,34
"sdP14","comp",2,"e",113,37,367.081318584071,724.9729,141,47,898.41004893617,393.433263829787,767.155176470588,51,627.787502409638,83,664.879676923077,65,612.864549090909,55
"sdP14","solo",1,"e",68,43,315.614563235294,1167.58289534884,73,71,691.022435616438,359.575942253521,548.22325,16,576.660184615385,39,428.351923076923,39,509.348593617021,47
"sdP14","solo",2,"e",63,50,299.024544444444,821.658102,67,64,814.918473134328,293.572121875,608.449504545455,22,602.899657575757,33,507.116894117647,34,558.891019512195,41
"sdP14","co",1,"e",22,14,281.894709090909,404.682278571429,45,23,743.976351111111,486.341613043478,607.200386956522,23,NA,0,577.440672727273,33,605.406209090909,11
"sdP14","comp",1,"e",46,39,283.825086956522,969.277074358974,69,51,735.023034782609,353.564892156863,551.2496625,32,582.241564285714,28,547.0452,27,537.841785714286,28
"sdP15","comp",2,"e",67,40,389.200947761194,1091.937885,99,66,728.713147474748,324.178625757576,899.419266666666,27,510.6297,37,583.634401818182,55,488.118168085106,47
"sdP15","solo",1,"e",91,24,345.386225274725,996.3659125,93,76,730.371603225806,264.660886842105,569.371482142857,28,550.783404081633,49,540.299796296296,54,514.108081132075,53
"sdP15","solo",2,"e",83,35,382.221662650602,1076.05805428571,91,77,702.697093406593,253.553120779221,497.28684,35,573.114815789474,38,561.746171698113,53,556.53925,48
"sdP15","co",1,"e",32,14,325.130428125,589.445571428571,61,37,706.164242622951,272.040291891892,566.194022222222,27,NA,0,619.799856521739,46,484.108025,20
"sdP15","co",2,"e",24,14,243.580104166667,797.4089,50,24,717.861916,259.489270833333,724.933088461538,26,NA,0,486.085072727273,22,469.111015384615,26
"sdP15","comp",1,"e",64,35,307.779215625,1113.00649428571,94,71,726.001193617021,271.571916901409,776.093582608695,23,596.902802,50,487.835136585366,41,460.123838636364,44
"sdP2","comp",2,"e",50,35,220.611406,1079.11597714286,90,77,479.269566666667,318.286042857143,472.077852173913,23,331.850121951219,41,422.7789875,40,355.278505555556,36
"sdP2","solo",1,"e",21,8,371.928957142857,843.6018,21,17,816.922376190476,353.692841176471,346.7976375,8,489.62176,10,1180.82865,6,567.2393,18
"sdP2","co",1,"e",20,7,248.17318,465.191871428571,49,19,693.059614285714,311.921194736842,690.428673076923,26,NA,0,510.770752,25,455.720577777778,18
"sdP2","co",2,"e",25,11,263.638968,486.405363636364,59,31,692.068533898305,380.6399,627.050458333333,24,NA,0,551.032452777778,36,522.359933333333,24
"sdP2","comp",1,"e",58,35,239.451986206897,915.456894285714,86,73,589.758932558139,366.74247260274,539.884465,20,416.397967391304,46,455.278965789474,38,433.8721725,40
"sdP2","solo",2,"e",68,35,230.842811764706,944.2499,78,59,558.409141025641,286.222169491526,349.291878125,32,383.687127586207,29,423.903190909091,33,441.541386538462,52
"sdP3","comp",2,"c",42,30,305.734366666667,679.807433333333,54,49,788.355316666667,532.929932653061,611.789,14,585.60198,25,552.96506,25,574.462765625,32
"sdP3","solo",1,"c",52,29,402.286973076923,561.242144827586,49,54,999.117024489796,626.878383333333,548.085581818182,22,721.846805555556,36,795.070351612903,31,598.675675,12
"sdP3","solo",2,"c",62,50,356.117575806452,683.8931,65,68,907.894512307692,529.067482352941,584.421139285714,28,595.699057142857,28,714.155386842105,38,633.6716,33
"sdP3","co",1,"c",14,11,227.046185714286,828.051390909091,32,19,785.742228125,761.4971,746.21021875,16,NA,0,588.384666666667,18,482.675866666667,12
"sdP3","co",2,"c",23,20,370.083591304348,700.51336,37,24,891.685324324324,845.478908333333,859.853625,16,NA,0,680.92975,32,496.4058,12
"sdP3","comp",1,"c",42,38,346.732211904762,910.454128947368,56,56,844.293185714286,561.49605,750.555046153846,13,578.595471428571,28,719.959426666667,30,529.129618518519,27
"sdP4","comp",2,"e",44,31,220.3581,691.884661290322,55,56,1023.70453090909,350.038392857143,983.44002,15,570.411443333333,30,670.122892592593,27,594.157181481481,27
"sdP4","solo",1,"e",61,30,367.164963934426,661.801383333333,62,55,969.946162903226,392.846136363636,708.131933333333,18,618.976035897436,39,618.302230555556,36,779.61348,30
"sdP4","solo",2,"e",63,55,297.361761904762,623.104889090909,71,65,731.048628169014,376.752906153846,489.257854,50,498.348472916667,48,665.221536666666,30,382.99635,6
"sdP4","co",1,"e",23,20,292.667186956522,610.46667,47,24,808.079489361702,446.46405,851.842471428571,21,NA,0,595.454285185185,27,488.414713636364,22
"sdP4","co",2,"e",21,17,562.660542857143,603.690864705882,44,23,882.252004545455,356.193056521739,905.061495,20,NA,0,758.5296,24,682.334252380952,21
"sdP4","comp",1,"e",45,35,342.649706666667,542.338671428571,58,51,798.710065517241,350.527743137255,645.91368125,16,604.056840909091,22,610.6156,32,563.056121212121,33
"sdP4","comp",2,"e",23,16,432.386226086957,442.84951875,32,28,878.909359375,374.319171428571,886.627233333333,9,673.2079,13,534.159776923077,13,719.72789,20
"sdP5","comp",2,"e",59,38,273.381933898305,1177.20436578947,91,82,587.618392307692,406.589625609756,621.155384,25,391.714082222222,45,451.982635135135,37,458.684465116279,43
"sdP5","solo",1,"e",104,43,362.020048076923,877.200272093023,104,95,712.1976125,445.70159368421,467.374140909091,44,524.539233333333,48,629.595386666667,60,503.581573214286,56
"sdP5","solo",2,"e",107,62,335.023289719626,806.334604838709,106,101,700.584873584906,390.390858415842,440.856011627907,43,569.901945652174,46,585.690164516129,62,461.683877419355,62
"sdP5","co",1,"e",37,25,304.757797297297,751.140644,65,40,633.037478461539,481.274615,567.589380769231,26,NA,0,497.71631372549,51,491.304748,25
"sdP5","co",2,"e",31,18,361.472093548387,702.784605555556,63,37,659.507134920635,417.017497297297,578.710696666667,30,NA,0,616.258868421053,38,460.593326923077,26
"sdP5","comp",1,"e",73,44,258.775373972603,1026.61247272727,101,94,620.896699009901,391.801785106383,650.483843478261,23,443.241507017544,57,422.059275,44,456.09333,50
"sdP7","co",2,"e",28,17,358.474364285714,526.085682352941,53,30,740.511873584906,387.890696666667,647.170377272727,22,NA,0,652.329139393939,33,519.992369230769,26
"sdP7","solo",1,"e",67,28,416.062923880597,875.932432142857,67,68,830.094234328358,343.841777941176,644.569838095238,21,571.923872093023,43,671.278055882353,34,626.121738888889,36
"sdP7","solo",2,"e",74,31,307.397640540541,743.635783870968,86,74,774.129175581396,328.548537837838,450.022746666667,45,568.601134782609,46,630.578283783784,37,612.01444375,32
"sdP7","co",1,"e",26,11,326.269107692308,774.760027272727,59,28,792.411077966102,361.195132142857,670.705110714286,28,NA,0,661.892197560976,41,582.37045,16
"sdP7","comp",1,"e",61,50,270.263659016393,1144.960058,82,80,658.387082926829,271.65208375,678.777163636364,22,446.048821739131,46,531.438936363636,33,416.309421428571,42
"sdP7","comp",2,"e",54,39,272.078407407407,944.934317948718,81,73,820.573101234568,307.816316438356,650.395416666667,24,547.085232558139,43,665.011237142857,35,568.154754545454,33
"sdP8","comp",2,"c",58,58,309.523786206896,1132.29052931034,81,78,611.201314814815,397.0455,629.956018181818,22,450.80634,45,509.964647368421,38,409.873876470588,34
"sdP8","solo",1,"c",80,49,375.8950025,842.272006122449,75,74,780.595667999999,381.424474324324,475.428244444445,18,601.569489583333,48,573.470332608696,46,576.82781627907,43
"sdP8","solo",2,"c",76,40,410.503386842105,840.43124,75,61,783.911102666667,421.031108196721,618.011392307692,26,599.029677777778,27,615.373635593221,59,549.806361538461,39
"sdP8","co",1,"c",33,24,271.023942424242,653.573491666667,53,31,678.538111320755,525.439896774194,683.22391875,16,NA,0,459.562807692308,52,559.858961111111,18
"sdP8","co",2,"c",24,23,317.107475,613.54892173913,54,28,657.959355555556,504.005517857143,701.631930769231,26,NA,0,470.6367625,40,506.040325,12
"sdP8","comp",1,"c",55,55,334.741790909091,907.120416363637,83,76,551.178086746988,307.041442105263,578.586515,20,579.598182051282,39,364.650266666667,45,399.213479411765,34
"sdP9","comp",2,"e",47,52,289.476327659575,1035.65601923077,93,87,639.852095698925,287.335848275862,717.089732,25,446.10142,35,577.945129411765,34,433.058802173913,46
"sdP9","solo",1,"e",66,42,321.04263030303,937.456776190476,66,58,670.286651515152,395.991210344828,469.871895,20,494.713253703704,54,516.285116216216,37,486.344271428571,21
"sdP9","solo",2,"e",63,45,335.786766666667,777.491842222222,71,63,740.492836619718,368.535203174603,506.969766666667,24,456.901206666667,30,651.338923255814,43,536.423605405406,37
"sdP9","co",1,"e",25,17,219.890692,525.584582352941,54,26,732.868714814815,351.249565384615,676.084980769231,26,NA,0,561.483575757576,33,448.25052,20
"sdP9","co",2,"e",27,12,318.636859259259,494.265366666667,49,29,745.690232653061,381.951196551724,753.917347619048,21,NA,0,578.750154285714,35,452.674845,20
"sdP9","comp",1,"e",46,44,345.64655,1042.55374318182,76,63,713.145618421053,306.149317460318,584.080528571429,21,492.764690625,32,603.155208108108,37,617.1220125,32
